Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr6,Pcp2,Assigned truck for pickup plan,2024-05-02 15:12:06
Silo5,tr36,Aranged silo for truck,2024-05-02 15:19:28
tr42,Pcp2,Assigned truck for pickup plan,2024-05-02 15:40:15
tr34,Pcp5,Assigned truck for pickup plan,2024-05-02 15:50:07
tr48,Pcp2,Assigned truck for pickup plan,2024-05-02 16:13:55
Silo5,tr44,Aranged silo for truck,2024-05-02 16:14:45
tr20,Pcp10,Assigned truck for pickup plan,2024-05-02 16:42:21
tr37,Pcp5,Assigned truck for pickup plan,2024-05-02 16:43:55
Silo7,tr49,Aranged silo for truck,2024-05-02 16:51:34
Silo5,tr9,Aranged silo for truck,2024-05-02 16:56:41
tr18,Pcp10,Assigned truck for pickup plan,2024-05-02 17:42:02
Silo5,tr24,Aranged silo for truck,2024-05-03 08:08:56
tr14,Pcp8,Assigned truck for pickup plan,2024-05-03 08:23:56
Silo5,tr33,Aranged silo for truck,2024-05-03 08:53:29
tr23,Pcp4,Assigned truck for pickup plan,2024-05-03 09:37:03
Silo7,tr50,Aranged silo for truck,2024-05-03 09:43:18
Silo7,tr5,Aranged silo for truck,2024-05-03 09:43:41
tr2,Pcp2,Assigned truck for pickup plan,2024-05-03 10:27:08
Silo7,tr12,Aranged silo for truck,2024-05-03 10:30:51
tr7,Pcp5,Assigned truck for pickup plan,2024-05-03 10:48:55
tr3,Pcp2,Assigned truck for pickup plan,2024-05-03 10:59:26
tr32,Pcp1,Assigned truck for pickup plan,2024-05-03 11:46:24
Silo5,tr29,Aranged silo for truck,2024-05-03 11:50:25
tr15,Pcp3,Assigned truck for pickup plan,2024-05-03 12:08:17
Silo7,tr19,Aranged silo for truck,2024-05-03 12:25:45
tr47,Pcp3,Assigned truck for pickup plan,2024-05-03 13:56:05
Silo7,tr39,Aranged silo for truck,2024-05-03 14:56:06
Silo5,tr41,Aranged silo for truck,2024-05-03 15:02:52
Silo7,tr13,Aranged silo for truck,2024-05-03 15:54:12
Silo5,tr17,Aranged silo for truck,2024-05-03 16:00:37
tr46,Pcp6,Assigned truck for pickup plan,2024-05-03 16:33:21
Silo5,tr22,Aranged silo for truck,2024-05-03 16:49:18
tr43,Pcp2,Assigned truck for pickup plan,2024-05-03 17:27:24
tr35,Pcp6,Dropped truck from pickup plan,2024-05-06 08:17:28
tr38,Pcp9,Dropped truck from pickup plan,2024-05-06 08:20:18
tr44,Pcp9,Dropped truck from pickup plan,2024-05-06 10:17:30
tr35,Pcp1,Assigned truck for pickup plan,2024-05-06 10:32:30
tr9,Pcp9,Dropped truck from pickup plan,2024-05-06 10:51:15
tr11,Pcp2,Assigned truck for pickup plan,2024-05-06 11:01:20
tr21,Pcp6,Dropped truck from pickup plan,2024-05-06 11:07:30
tr38,Pcp10,Assigned truck for pickup plan,2024-05-06 11:22:19
tr18,Pcp2,Assigned truck for pickup plan,2024-05-06 11:27:24
tr44,Pcp8,Assigned truck for pickup plan,2024-05-06 11:40:25
Silo6,tr48,Aranged silo for truck,2024-05-06 11:42:55
tr27,Pcp6,Dropped truck from pickup plan,2024-05-06 11:56:31
