ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
WS01;tr28;Weight sensor measuring empty truck weight;2024-05-02 14:06:35
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 14:08:19
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 14:08:19
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 14:08:19
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 14:08:19
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 14:08:19
WS08;tr13;Weight sensor measuring empty truck weight;2024-05-02 14:13:36
WS11;tr35;Weight sensor measuring empty truck weight;2024-05-02 14:18:46
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 14:27:55
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 14:27:55
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 14:27:55
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 14:27:55
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 14:27:55
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 14:42:30
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 14:42:30
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 14:42:30
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 14:42:30
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 14:42:30
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 14:48:40
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 14:48:40
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 14:48:40
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 14:48:40
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 14:48:40
WS01;tr36;Weight sensor measuring empty truck weight;2024-05-02 14:50:57
WS13;tr46;Weight sensor measuring empty truck weight;2024-05-02 14:51:14
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 14:53:40
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 14:53:40
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 14:53:40
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 14:53:40
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 14:53:40
WS06;tr15;Weight sensor measuring empty truck weight;2024-05-02 15:11:26
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 15:51:06
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 15:51:06
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 15:51:06
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 15:51:06
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 15:51:06
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 15:54:13
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 15:54:13
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 15:54:13
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 15:54:13
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 15:54:13
WS18;tr5;Weight sensor measuring empty truck weight;2024-05-02 15:55:35
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 16:00:34
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 16:00:34
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 16:00:34
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 16:00:34
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 16:00:34
WS14;tr4;Weight sensor measuring empty truck weight;2024-05-02 16:05:04
WS19;tr44;Weight sensor measuring empty truck weight;2024-05-02 16:12:04
WS05;tr18;Weight sensor measuring empty truck weight;2024-05-02 16:29:37
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 16:47:53
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 16:47:53
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 16:47:53
