Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr46,Pcp5,Assigned truck for pickup plan,2024-05-03 16:16:13
tr32,Pcp9,Assigned truck for pickup plan,2024-05-03 16:29:55
tr35,Pcp2,Assigned truck for pickup plan,2024-05-03 16:36:34
tr2,Pcp10,Assigned truck for pickup plan,2024-05-03 17:18:38
tr48,Pcp6,Dropped truck from pickup plan,2024-05-03 17:57:03
tr26,Pcp6,Dropped truck from pickup plan,2024-05-03 19:16:06
tr3,Pcp1,Dropped truck from pickup plan,2024-05-06 07:18:51
tr21,Pcp6,Dropped truck from pickup plan,2024-05-06 07:42:27
tr41,Pcp6,Dropped truck from pickup plan,2024-05-06 08:08:57
tr28,Pcp1,Dropped truck from pickup plan,2024-05-06 08:08:58
tr4,Pcp3,Assigned truck for pickup plan,2024-05-06 08:09:35
tr27,Pcp1,Dropped truck from pickup plan,2024-05-06 08:11:37
tr24,Pcp1,Dropped truck from pickup plan,2024-05-06 08:37:49
tr15,Pcp1,Assigned truck for pickup plan,2024-05-06 09:34:02
tr48,Pcp9,Assigned truck for pickup plan,2024-05-06 10:07:07
tr19,Pcp5,Assigned truck for pickup plan,2024-05-06 10:09:10
tr33,Pcp6,Dropped truck from pickup plan,2024-05-06 10:10:33
tr12,Pcp1,Dropped truck from pickup plan,2024-05-06 10:28:44
tr29,Pcp1,Dropped truck from pickup plan,2024-05-06 10:32:40
tr41,Pcp3,Assigned truck for pickup plan,2024-05-06 10:34:40
tr3,Pcp2,Assigned truck for pickup plan,2024-05-06 10:59:40
tr21,Pcp10,Assigned truck for pickup plan,2024-05-06 11:04:03
tr26,Pcp3,Assigned truck for pickup plan,2024-05-06 11:09:00
tr27,Pcp8,Assigned truck for pickup plan,2024-05-06 11:10:47
tr45,Pcp1,Dropped truck from pickup plan,2024-05-06 11:28:41
tr9,Pcp6,Dropped truck from pickup plan,2024-05-06 11:39:42
tr38,Pcp1,Dropped truck from pickup plan,2024-05-06 11:50:35
tr33,Pcp7,Assigned truck for pickup plan,2024-05-06 12:05:45
tr39,Pcp1,Dropped truck from pickup plan,2024-05-06 13:24:14
tr12,Pcp1,Assigned truck for pickup plan,2024-05-06 13:42:24
tr5,Pcp1,Dropped truck from pickup plan,2024-05-06 14:19:49
tr28,Pcp2,Assigned truck for pickup plan,2024-05-06 14:27:01
tr30,Pcp1,Dropped truck from pickup plan,2024-05-06 14:41:05
tr23,Pcp6,Dropped truck from pickup plan,2024-05-06 14:48:27
tr34,Pcp6,Dropped truck from pickup plan,2024-05-06 14:53:28
tr24,Pcp1,Assigned truck for pickup plan,2024-05-06 14:59:38
tr43,Pcp6,Dropped truck from pickup plan,2024-05-06 15:21:31
tr29,Pcp4,Assigned truck for pickup plan,2024-05-06 15:39:31
tr30,Pcp8,Assigned truck for pickup plan,2024-05-06 16:50:46
tr5,Pcp5,Assigned truck for pickup plan,2024-05-06 17:04:28
tr45,Pcp2,Assigned truck for pickup plan,2024-05-06 17:04:42
tr38,Pcp4,Assigned truck for pickup plan,2024-05-06 17:18:18
tr47,Pcp1,Dropped truck from pickup plan,2024-05-06 17:58:10
tr43,Pcp3,Assigned truck for pickup plan,2024-05-06 18:28:10
tr8,Pcp6,Dropped truck from pickup plan,2024-05-07 07:09:18
tr7,Pcp2,Dropped truck from pickup plan,2024-05-07 07:55:55
tr23,Pcp1,Assigned truck for pickup plan,2024-05-07 08:10:30
tr9,Pcp8,Assigned truck for pickup plan,2024-05-07 08:15:15
tr17,Pcp6,Dropped truck from pickup plan,2024-05-07 10:02:07
tr8,Pcp7,Assigned truck for pickup plan,2024-05-07 10:02:16
tr47,Pcp4,Assigned truck for pickup plan,2024-05-07 10:19:57
tr40,Pcp6,Dropped truck from pickup plan,2024-05-07 10:30:44
tr39,Pcp9,Assigned truck for pickup plan,2024-05-07 10:34:41
tr25,Pcp2,Dropped truck from pickup plan,2024-05-07 10:37:12
tr34,Pcp9,Assigned truck for pickup plan,2024-05-07 11:20:07
