ocel_event_id;ocel_object_id;ocel_qualifier
weigh_empty_trucktr21;tr21;Truck weighed
weigh_empty_trucktr22;tr22;Truck weighed
load_trucktr11;tr11;cargo load for truck
weigh_empty_trucktr38;tr38;Truck weighed
load_trucktr38;tr38;cargo load for truck
load_trucktr22;tr22;cargo load for truck
weigh_empty_trucktr16;tr16;Truck weighed
load_trucktr21;tr21;cargo load for truck
weigh_empty_trucktr48;tr48;Truck weighed
weigh_empty_trucktr41;tr41;Truck weighed
load_trucktr25;tr25;cargo load for truck
weigh_empty_trucktr12;tr12;Truck weighed
load_trucktr48;tr48;cargo load for truck
load_trucktr17;tr17;cargo load for truck
load_trucktr16;tr16;cargo load for truck
weigh_empty_trucktr44;tr44;Truck weighed
load_trucktr41;tr41;cargo load for truck
load_trucktr44;tr44;cargo load for truck
weigh_empty_trucktr2;tr2;Truck weighed
load_trucktr12;tr12;cargo load for truck
load_trucktr2;tr2;cargo load for truck
weigh_empty_trucktr1;tr1;Truck weighed
weigh_empty_trucktr27;tr27;Truck weighed
load_trucktr27;tr27;cargo load for truck
weigh_empty_trucktr15;tr15;Truck weighed
load_trucktr1;tr1;cargo load for truck
weigh_empty_trucktr43;tr43;Truck weighed
weigh_empty_trucktr26;tr26;Truck weighed
load_trucktr26;tr26;cargo load for truck
weigh_empty_trucktr8;tr8;Truck weighed
weigh_empty_trucktr29;tr29;Truck weighed
weigh_empty_trucktr13;tr13;Truck weighed
weigh_empty_trucktr47;tr47;Truck weighed
load_trucktr29;tr29;cargo load for truck
weigh_empty_trucktr6;tr6;Truck weighed
load_trucktr13;tr13;cargo load for truck
weigh_empty_trucktr45;tr45;Truck weighed
load_trucktr43;tr43;cargo load for truck
load_trucktr15;tr15;cargo load for truck
weigh_empty_trucktr30;tr30;Truck weighed
load_trucktr30;tr30;cargo load for truck
load_trucktr47;tr47;cargo load for truck
load_trucktr8;tr8;cargo load for truck
load_trucktr6;tr6;cargo load for truck
weigh_empty_trucktr19;tr19;Truck weighed
load_trucktr45;tr45;cargo load for truck
load_trucktr19;tr19;cargo load for truck
weigh_loaded_trucktr36;tr36;Truck weighed
weigh_loaded_trucktr7;tr7;Truck weighed
weigh_loaded_trucktr16;tr16;Truck weighed
weigh_loaded_trucktr20;tr20;Truck weighed
weigh_loaded_trucktr10;tr10;Truck weighed
input_tally_sheettr36;tr36;Tally Sheet for pickup plan
print_w_tickettr36;tr36;Printed weighing ticket for pickup plan
print_w_tickettr10;tr10;Printed weighing ticket for pickup plan
input_tally_sheettr10;tr10;Tally Sheet for pickup plan
weigh_loaded_trucktr49;tr49;Truck weighed
print_w_tickettr7;tr7;Printed weighing ticket for pickup plan
input_tally_sheettr7;tr7;Tally Sheet for pickup plan
print_w_tickettr49;tr49;Printed weighing ticket for pickup plan
input_tally_sheettr49;tr49;Tally Sheet for pickup plan
eval_trs_exittr7_Pcp6;tr7;Exit evaluation for truck
weigh_loaded_trucktr28;tr28;Truck weighed
input_tally_sheettr16;tr16;Tally Sheet for pickup plan
print_w_tickettr16;tr16;Printed weighing ticket for pickup plan
weigh_loaded_trucktr27;tr27;Truck weighed
print_w_tickettr20;tr20;Printed weighing ticket for pickup plan
input_tally_sheettr20;tr20;Tally Sheet for pickup plan
eval_trs_exittr36_Pcp1;tr36;Exit evaluation for truck
eval_trs_exittr16_Pcp1;tr16;Exit evaluation for truck
eval_trs_exittr10_Pcp6;tr10;Exit evaluation for truck
eval_trs_exittr20_Pcp1;tr20;Exit evaluation for truck
weigh_loaded_trucktr11;tr11;Truck weighed
weigh_loaded_trucktr44;tr44;Truck weighed
weigh_loaded_trucktr42;tr42;Truck weighed
eval_trs_exittr49_Pcp1;tr49;Exit evaluation for truck
weigh_loaded_trucktr32;tr32;Truck weighed
weigh_loaded_trucktr46;tr46;Truck weighed
