IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-02 14:39:36
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-02 14:39:36
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-02 14:39:36
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-02 14:39:36
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-02 14:39:36
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 14:45:04
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 14:45:04
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 14:45:04
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 14:45:04
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 14:45:04
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-02 14:48:50
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-02 14:48:50
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-02 14:48:50
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-02 14:48:50
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-02 14:48:50
WS17,tr49,Weight sensor measuring empty truck weight,2024-05-02 15:02:03
WS06,tr23,Weight sensor measuring empty truck weight,2024-05-02 15:17:55
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 15:33:21
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 15:33:21
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 15:33:21
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 15:33:21
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 15:33:21
WS02,tr5,Weight sensor measuring empty truck weight,2024-05-02 15:48:00
